name,O,OH,U_param,spin,oxidation_states_A,oxidation_states_B,electronegativity_A,electronegativity_B,Tolerance_factor,Octahedral_factor,ionic_ration_AO,ionic_ration_BO,Diff_A_O,Diff_B_O,Z_1,atomic_radius_1,mendeleev_no_1,common_oxidation_states_1,X_1,thermal_conductivity_1,average_ionic_radius_1,atomic_orbitals_1,s_filling,s_center,s_sigma_c,s_skewness,s_kurtosis,dz2_filling,dz2_center,dz2_sigma_c,dz2_skewness,dz2_kurtosis,dzx_filling,dzx_center,dzx_sigma_c,dzx_skewness,dzx_kurtosis,dzy_filling,dzy_center,dzy_sigma_c,dzy_skewness,dzy_kurtosis,dx2_y2_filling,dx2_y2_center,dx2_y2_sigma_c,dx2_y2_skewness,dx2_y2_kurtosis,dxy_filling,dxy_center,dxy_sigma_c,dxy_skewness,dxy_kurtosis,pz_filling,pz_center,pz_sigma_c,pz_skewness,pz_kurtosis,px_filling,px_center,px_sigma_c,px_skewness,px_kurtosis,py_filling,py_center,py_sigma_c,py_skewness,py_kurtosis,eg_ratio
BaRbTi2O6,4.50712001,1.602430695,0,1,3,4,0.855,1.54,0.949320154,0.675925926,1.25,0.675925926,-2.585,-1.9,18.5,1.09,73.1,-0.1,2.543,12.015948,1.241333333,-0.6816402,0.99811006,-23.33740355,3.205773974,6.256128078,44.28353307,0.264198281,2.749857217,5.097862601,-1.759455427,6.33842239,0.143089104,2.556921043,2.158192389,-1.809957207,6.475031409,0.139900368,2.565757028,2.168650492,-1.771208631,6.388414676,0.271075898,2.91614854,5.074632295,-1.797470935,6.455550858,0.144065341,2.547724707,2.148634032,-1.844548876,6.557496745,0.721846185,-0.840651167,2.006026224,-0.524279918,12.4351675,0.818142672,-1.340554259,3.769296308,-0.528051067,16.72332915,0.720334351,-0.840032007,2.013530026,-0.480234041,12.42766079,0.573356415
BiPrTl2O6,0.99518301,,0,1,6,1,1.575,1.62,0.629372767,1.057539683,0.831349206,1.057539683,-1.865,-1.82,35.2,1.085,88,-0.4,2.703,11.315948,1.232,-0.6348806,0.996304699,-23.04872825,3.72986588,4.546748259,26.75119271,0.769388844,-3.176574961,5.327274538,-1.774194677,4.697906256,0.93765457,-2.220808896,1.579880846,-1.022015082,21.31452293,0.927225649,-2.164530158,1.631890615,-0.726551119,19.46963725,0.847385488,-3.289471268,5.157559106,-1.883234132,5.10813057,0.922514042,-2.197264228,1.668155242,-0.57210473,18.32229564,0.889566393,-1.655897271,1.521361285,0.289367629,8.39979175,0.867457633,-2.374325089,2.471570244,-0.581829461,4.86406761,0.893165243,-1.667634636,1.517716043,0.320213929,8.538675832,0.715085811
CePrGa2O6,2.61172101,,0,1,6,3,1.125,1.81,0.815623168,0.603174603,0.849206349,0.603174603,-2.315,-1.63,22.7,0.99,83.1,0,2.651,8.215948,1.122,-0.6142649,0.999880123,-34.7403804,5.163598629,5.383550937,30.72836983,0.998205353,-6.975088861,5.945010704,-1.254935278,2.903689707,0.988051305,-4.797232841,1.971526971,-4.325917573,40.33924765,0.986635261,-4.790826557,1.965841029,-4.345043864,40.87284297,0.998776498,-7.028516157,5.855672156,-1.308649122,3.023783043,0.987748742,-4.827292908,1.960316982,-4.411131623,41.31846336,0.998238973,-4.072404867,1.504404715,-3.515985469,38.53164866,0.996652872,-5.246898587,2.340428527,-0.847422501,5.288442304,0.99796746,-4.066125127,1.519538063,-3.372456874,37.12870072,0.732558551
LaBaPb2O6,2.49613401,,0,1,5,2,0.995,2.33,0.768987899,0.890873016,1.056349206,0.890873016,-2.445,-1.11,32.5,1.13,81.7,-0.3,2.729,10.115948,1.2467,-0.6193746,0.990063482,-30.1635531,5.00756702,5.581606127,33.9559594,0.990086711,-15.92752666,3.788280363,2.67483313,10.95538929,0.998886239,-16.4631505,1.954376957,6.008745556,42.67251955,0.998963179,-16.46321759,1.952749219,5.995859764,42.44521333,0.994817859,-15.98294528,3.642171939,2.611997477,10.68240839,0.998728935,-16.46270336,1.957431665,6.017790664,42.8203933,0.933579858,-3.009319806,1.897906444,0.429497516,14.25019387,0.868397935,-3.954802335,3.540286652,-0.885038076,5.090750113,0.926052784,-2.963777747,1.955221044,0.498547354,13.00375953,0.407092625
LaTlSn2O6,2.83420401,-1.186236305,0,1,4,-4,1.36,1.96,0.849966034,0.658730159,0.993849206,0.658730159,-2.08,-1.48,28.6,1.035,88.3,-1.6,2.728,19.315948,1.17245,-1.4738095,0.938988547,-17.70532716,3.868498124,2.301826144,20.44902788,0.997115476,-19.90066949,4.925966487,2.858361148,10.22915228,0.998516148,-20.72396925,2.926977557,5.697395286,35.57978541,0.998345213,-20.71629438,2.956174033,5.675338646,35.32909691,0.996949923,-19.88770052,4.934757475,2.826638585,10.00983875,0.998260224,-20.72285936,2.933885509,5.707066913,35.74485778,0.970806279,-2.681682991,1.639366336,-1.765092064,25.9667823,0.914688378,-4.355912906,3.467120503,-0.929122008,8.228700633,0.974417962,-2.698559211,1.602831216,-2.06344571,27.5385475,0.414104073
Ce2Ti2O6,-1.43019999,-1.328813305,0,1,6,4,1.12,1.54,0.783565841,0.675925926,0.857142857,0.675925926,-2.32,-1.9,20.8,1.01,77.2,0.2,2.596,6.615948,1.142333333,-0.5830332,0.99972804,-34.56917794,4.688833491,5.668194611,34.13193341,0.996297253,-8.280267978,4.673666996,-1.868770626,5.067797194,0.697223733,-2.456461319,3.219952147,-0.749213352,3.119517352,0.743909758,-2.488126469,3.136965644,-0.80759642,3.324265328,0.997307322,-7.94777842,4.691902739,-1.925106166,5.243737963,0.695329943,-2.546026155,3.266909396,-0.678691851,2.980185434,0.990538114,-5.232851479,1.697073188,-2.401729268,34.7496234,0.996418048,-6.061141227,2.416329352,-8.561230014,102.1218585,0.99169322,-5.239262639,1.681764368,-2.547076557,35.7223897,0.491576874
La2Pb2O6,3.41953601,,0,1,6,2,1.1,2.33,0.721797982,0.890873016,0.93015873,0.890873016,-2.34,-1.11,32.6,1.11,83.6,-0.2,2.75,9.615948,1.2149,-0.6207012,0.999395652,-34.02045966,4.227372108,6.582009736,45.50528209,0.997426605,-16.36992801,3.467329454,2.604533251,10.9934159,0.999666222,-16.80622671,1.821897933,5.97836484,41.89744106,0.999675002,-16.80516443,1.825905093,5.969280839,41.73323589,0.998457039,-16.36517635,3.455712602,2.541324357,10.50119423,0.999598161,-16.8065557,1.821697515,5.99264687,42.1553889,0.993187246,-4.195596239,1.245997201,-3.379358879,44.18342226,0.966306116,-4.988531996,3.227706604,-1.250383671,5.781177618,0.992954189,-4.187542709,1.262041479,-3.200003471,42.13636068,0.407229435
LaScSn2O6,2.08427601,-2.660566305,0,1,6,-4,1.23,1.96,0.774265009,0.658730159,0.816269841,0.658730159,-2.21,-1.48,22.6,1.005,82.4,-1.4,2.702,16.315948,1.1277,-1.4609553,0.892164905,-19.29492288,4.302216612,2.466271288,22.29709139,0.998938962,-21.69804506,4.70116993,2.880277894,10.40819985,0.999223968,-22.45786602,2.776831241,5.756475465,36.28197237,0.999244081,-22.45666629,2.780252886,5.747026808,36.14934461,0.998817497,-21.68419547,4.713139675,2.847754573,10.17980482,0.999098365,-22.45775479,2.779557908,5.768183511,36.46936285,0.980019972,-5.055215307,1.576987697,-1.423099255,28.97296644,0.960422461,-6.623356432,3.298832147,-1.122110614,8.861726951,0.978404982,-5.037892546,1.604978361,-1.263864636,27.31833479,0.413701165
LaScPb2O6,3.26510801,,0,1,6,2,1.23,2.33,0.679208339,0.890873016,0.816269841,0.890873016,-2.21,-1.11,29,1.075,82.2,-0.2,2.776,9.915948,1.1862,-0.6231257,0.946392593,-19.16057162,3.639456727,2.275935877,28.76880248,0.998570582,-16.29445732,3.626785764,2.396561422,9.637815835,0.999694123,-16.72536872,1.923834281,5.780097904,38.5731165,0.99970132,-16.72386299,1.929611635,5.770497458,38.41262651,0.998558892,-16.26645703,3.665395651,2.349907005,9.215102738,0.999616904,-16.72614817,1.921677886,5.79334762,38.80280123,0.982671917,-3.860864906,1.378407379,-2.288613097,31.46061101,0.95471976,-4.953330713,3.38335863,-1.234849329,5.561786818,0.982121758,-3.85309917,1.391777882,-2.182740569,30.39220874,0.408005271
LaPbPb2O6,3.18447301,-1.768701305,0,1,5,2,1.715,2.33,0.714452382,0.890873016,0.910515873,0.890873016,-1.725,-1.11,35.1,1.095,88.5,-0.3,2.873,11.815948,1.20995,-0.6431966,0.996080695,-20.90916388,3.553262457,3.653481687,22.50343291,0.991458868,-15.95269573,3.812256973,2.57265073,10.38889579,0.999214437,-16.48627395,1.926298498,5.921112566,41.15180524,0.999097371,-16.48293952,1.940650823,5.914909,41.04588599,0.996097987,-16.00782874,3.665742449,2.494501145,9.992607071,0.999060756,-16.48584754,1.92981128,5.937645069,41.44804452,0.93010249,-3.180441827,1.801336943,-0.204331624,14.3342292,0.899361725,-4.260924503,3.487409635,-1.006726442,5.250645436,0.941296065,-3.2331781,1.738001629,-0.374105464,15.97710165,0.407559251
